,HEFAMINC,HRNUMHOU,HRHTYPE,PTDTRACE,PREMPNOT,PRCHLD,HETS2O,HETS6O,HETS8CO,HESP1,HETSP3O
2292,8,4,1,1,1,4,-1,-1,-1,-1,-1
2293,8,4,1,1,4,4,-1,-1,-1,-1,-1
2294,8,4,1,1,4,0,-1,-1,-1,-1,-1
2295,8,4,1,1,-1,0,-1,-1,-1,-1,-1
2296,10,1,7,1,4,0,-1,30,20,-1,-1
2297,5,3,1,2,4,3,190,-1,-1,1,190
2298,5,3,1,2,1,3,190,-1,-1,1,190
2299,5,3,1,2,-1,0,190,-1,-1,1,190
2300,12,3,1,1,2,3,90,-1,50,-1,-1
2301,12,3,1,1,1,3,90,-1,50,-1,-1
2302,12,3,1,1,-1,0,90,-1,50,-1,-1
2303,15,6,1,2,1,10,120,100,-1,-1,-1
2304,15,6,1,2,1,10,120,100,-1,-1,-1
2305,15,6,1,2,2,1,120,100,-1,-1,-1
2306,15,6,1,2,1,0,120,100,-1,-1,-1
2307,15,6,1,2,-1,0,120,100,-1,-1,-1
2308,15,6,1,2,-1,0,120,100,-1,-1,-1
2309,5,1,7,1,4,0,-1,10,-1,1,50
2310,12,5,1,1,1,3,250,20,-1,2,-1
2311,12,5,1,1,4,3,250,20,-1,2,-1
2312,12,5,1,1,-1,0,250,20,-1,2,-1
2313,12,5,1,1,-1,0,250,20,-1,2,-1
2314,12,5,1,1,4,0,250,20,-1,2,-1
2315,8,3,4,2,1,8,-1,-1,60,2,-1
2316,8,3,4,2,-1,0,-1,-1,60,2,-1
2317,8,3,4,2,-1,0,-1,-1,60,2,-1
2318,13,2,1,1,4,0,130,30,-1,-1,-1
2319,13,2,1,1,4,0,130,30,-1,-1,-1
2320,10,3,1,1,1,4,-1,100,-1,2,-1
2321,10,3,1,1,1,4,-1,100,-1,2,-1
2322,10,3,1,1,-1,0,-1,100,-1,2,-1
2323,4,1,7,2,4,0,30,-1,-1,1,10
2324,4,1,6,2,4,0,40,-1,80,2,-1
2325,12,2,1,1,4,0,60,-1,-1,-1,-1
2326,12,2,1,1,4,0,60,-1,-1,-1,-1
2327,14,4,1,1,1,10,300,100,-1,2,-1
2328,14,4,1,1,1,10,300,100,-1,2,-1
2329,14,4,1,1,-1,0,300,100,-1,2,-1
2330,14,4,1,1,4,0,300,100,-1,2,-1
2331,5,1,6,1,4,0,150,20,-1,2,-1
2332,6,1,7,2,4,0,-1,-1,30,2,-1
2333,8,2,1,2,4,0,-1,4,-1,2,-1
2334,8,2,1,2,4,0,-1,4,-1,2,-1
2335,16,4,1,1,1,4,250,50,-1,-1,-1
2336,16,4,1,1,1,4,250,50,-1,-1,-1
2337,16,4,1,1,1,0,250,50,-1,-1,-1
2338,16,4,1,1,4,0,250,50,-1,-1,-1
2339,11,2,1,1,1,0,80,50,-1,-1,-1
2340,11,2,1,1,4,0,80,50,-1,-1,-1
2341,13,4,6,1,1,0,150,60,-1,-1,-1
2342,13,4,6,1,4,4,150,60,-1,-1,-1
2343,13,4,6,1,-1,0,150,60,-1,-1,-1
2344,13,4,6,1,1,0,150,60,-1,-1,-1
2345,8,4,4,1,4,0,200,30,50,2,-1
2346,8,4,4,1,4,0,200,30,50,2,-1
2347,8,4,4,1,4,0,200,30,50,2,-1
2348,8,4,4,1,4,0,200,30,50,2,-1
2349,16,5,1,1,4,0,430,250,-1,-1,-1
2350,16,5,1,1,4,0,430,250,-1,-1,-1
2351,16,5,1,1,1,0,430,250,-1,-1,-1
2352,16,5,1,1,1,0,430,250,-1,-1,-1
2353,16,5,1,1,1,0,430,250,-1,-1,-1
2354,16,3,4,2,1,0,-1,-1,-1,-1,-1
2355,16,3,4,2,1,0,-1,-1,-1,-1,-1
2356,16,3,4,2,1,0,-1,-1,-1,-1,-1
2357,3,1,6,2,4,0,70,4,30,1,40
4570,3,2,4,1,4,0,-1,-1,100,1,110
4571,3,2,4,1,4,0,-1,-1,100,1,110
4572,7,2,3,2,4,0,150,4,50,2,-1
4573,7,2,3,2,4,0,150,4,50,2,-1
4574,7,1,6,2,1,0,-1,-1,-1,2,-1
4575,6,2,4,2,4,0,-1,140,200,2,-1
4576,6,2,4,2,-1,0,-1,140,200,2,-1
4577,13,4,3,1,1,6,-1,-1,-1,-1,-1
4578,13,4,3,1,1,3,-1,-1,-1,-1,-1
4579,13,4,3,1,-1,0,-1,-1,-1,-1,-1
4580,13,4,3,1,-1,0,-1,-1,-1,-1,-1
4581,7,1,6,2,1,0,-1,-1,-1,2,-1
4582,11,1,7,1,4,0,-1,30,-1,-1,-1
4583,12,1,6,1,1,0,30,20,-1,-1,-1
4584,6,1,7,1,4,0,200,-1,10,2,-1
4585,15,2,1,1,1,0,100,40,-1,-1,-1
4586,15,2,1,1,1,0,100,40,-1,-1,-1
4587,3,1,7,1,1,0,100,-1,-1,2,-1
4588,9,1,7,2,1,0,100,10,30,2,-1
7245,11,1,7,2,4,0,50,-1,50,2,-1
7246,11,4,4,2,4,0,220,130,100,2,-1
7247,11,4,4,2,4,0,220,130,100,2,-1
7248,11,4,4,2,1,4,220,130,100,2,-1
7249,11,4,4,2,1,0,220,130,100,2,-1
7250,8,1,7,1,4,0,60,10,-1,-1,-1
7251,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7252,13,1,6,2,1,0,40,20,-1,-1,-1
7253,10,3,4,1,1,3,80,30,-1,2,-1
7254,10,3,4,1,-1,0,80,30,-1,2,-1
7255,10,3,4,1,-1,0,80,30,-1,2,-1
7256,12,2,1,1,4,0,200,40,-1,-1,-1
7257,12,2,1,1,4,0,200,40,-1,-1,-1
7258,10,1,6,1,1,0,100,20,-1,-1,-1
7259,12,4,4,1,1,1,140,30,-1,2,-1
7260,12,4,4,1,1,1,140,30,-1,2,-1
7261,12,4,4,1,-1,0,140,30,-1,2,-1
7262,12,4,4,1,4,0,140,30,-1,2,-1
7263,7,5,4,2,1,3,-1,-1,-1,-1,-1
7264,7,5,4,2,4,0,-1,-1,-1,-1,-1
7265,7,5,4,2,1,0,-1,-1,-1,-1,-1
7266,7,5,4,2,4,0,-1,-1,-1,-1,-1
7267,7,5,4,1,-1,0,-1,-1,-1,-1,-1
7268,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7269,10,1,7,1,4,0,250,20,-1,-1,-1
7270,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7271,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7272,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7273,1,2,1,2,1,0,50,20,150,2,-1
7274,1,2,1,2,1,0,50,20,150,2,-1
7275,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7276,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7277,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7278,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7279,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7280,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7281,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7282,6,1,7,2,1,0,-1,50,40,2,-1
7283,7,2,4,1,4,0,200,-1,-1,2,-1
7284,7,2,4,1,4,0,200,-1,-1,2,-1
7285,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7286,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7287,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7288,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7289,12,2,1,2,2,0,100,4,-1,1,180
7290,12,2,1,2,1,0,100,4,-1,1,180
7291,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7292,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7293,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7294,11,2,1,1,1,0,100,200,-1,-1,-1
7295,11,2,1,1,4,0,100,200,-1,-1,-1
7296,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7297,12,5,1,1,1,10,250,-1,-1,2,-1
7298,12,5,1,1,4,10,250,-1,-1,2,-1
7299,12,5,1,1,-1,0,250,-1,-1,2,-1
7300,12,5,1,1,-1,0,250,-1,-1,2,-1
7301,12,5,1,1,-1,0,250,-1,-1,2,-1
7302,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7303,15,2,1,1,4,0,400,-1,-1,-1,-1
7304,15,2,1,1,1,0,400,-1,-1,-1,-1
7305,-1,4,0,-1,-1,-1,-1,-1,-1,-1,-1
7306,13,4,1,2,4,8,190,30,-1,-1,-1
7307,13,4,1,2,4,8,190,30,-1,-1,-1
7308,13,4,1,2,-1,0,190,30,-1,-1,-1
7309,13,4,1,2,-1,0,190,30,-1,-1,-1
7310,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7311,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7312,11,1,7,2,1,0,100,20,-1,2,-1
7313,2,2,3,1,1,0,-1,-1,-1,-1,-1
7314,2,2,3,1,1,0,-1,-1,-1,-1,-1
7315,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7316,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7317,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7318,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7319,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7320,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7321,4,2,1,1,4,0,-1,-1,-1,-1,-1
7322,4,2,1,1,4,0,-1,-1,-1,-1,-1
7323,5,1,6,1,4,0,-1,-1,-1,-1,-1
7324,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7325,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7326,12,1,7,1,1,0,-1,20,-1,2,-1
7327,12,1,6,1,1,0,20,20,-1,2,-1
7328,12,4,4,1,1,0,-1,-1,-1,-1,-1
7329,12,4,4,1,1,0,-1,-1,-1,-1,-1
7330,12,4,4,1,4,0,-1,-1,-1,-1,-1
7331,12,4,4,1,4,0,-1,-1,-1,-1,-1
7332,13,2,1,1,1,0,300,80,-1,2,-1
7333,13,2,1,1,1,0,300,80,-1,2,-1
7334,13,2,1,1,1,0,80,20,-1,-1,-1
7335,13,2,1,1,1,0,80,20,-1,-1,-1
7336,16,3,1,1,1,3,200,20,-1,-1,-1
7337,16,3,1,1,1,3,200,20,-1,-1,-1
7338,16,3,1,1,-1,0,200,20,-1,-1,-1
7339,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7340,3,2,3,2,4,0,50,-1,50,-1,-1
7341,3,2,3,2,4,0,50,-1,50,-1,-1
7342,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7343,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7344,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7345,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7346,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7347,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7348,15,3,1,1,1,3,300,100,-1,-1,-1
7349,15,3,1,1,1,3,300,100,-1,-1,-1
7350,15,3,1,1,-1,0,300,100,-1,-1,-1
7351,4,1,7,2,1,0,-1,4,-1,2,-1
7352,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7353,15,2,1,1,4,0,80,-1,20,-1,-1
7354,15,2,1,1,4,0,80,-1,20,-1,-1
7355,7,1,6,2,1,0,40,-1,-1,2,-1
7356,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7357,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7358,15,1,7,1,4,0,80,20,-1,-1,-1
7359,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7360,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7361,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7362,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7363,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7364,9,1,7,2,1,0,-1,60,-1,-1,-1
7365,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7366,10,3,3,2,1,1,100,50,-1,2,-1
7367,10,3,3,2,-1,0,100,50,-1,2,-1
7368,10,3,3,2,-1,0,100,50,-1,2,-1
7369,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7370,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7371,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7372,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11040,9,1,6,1,4,0,-1,250,-1,-1,-1
11041,6,5,1,2,4,3,-1,4,-1,-1,-1
11042,6,5,1,2,1,3,-1,4,-1,-1,-1
11043,6,5,1,2,-1,0,-1,4,-1,-1,-1
11044,6,5,1,2,-1,0,-1,4,-1,-1,-1
11045,6,5,1,2,4,0,-1,4,-1,-1,-1
11046,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11047,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11048,6,3,4,1,1,8,100,40,200,1,250
11049,6,3,4,1,-1,0,100,40,200,1,250
11050,6,3,4,1,-1,0,100,40,200,1,250
11051,1,3,4,2,4,10,150,30,-1,1,280
11052,1,3,4,2,-1,0,150,30,-1,1,280
11053,1,3,4,2,-1,0,150,30,-1,1,280
11054,1,4,4,2,1,0,140,-1,-1,2,-1
11055,1,4,4,2,1,3,140,-1,-1,2,-1
11056,1,4,4,2,-1,0,140,-1,-1,2,-1
11057,1,4,4,2,-1,0,140,-1,-1,2,-1
11058,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11059,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11060,9,4,1,2,1,6,150,40,-1,2,-1
11061,9,4,1,2,1,6,150,40,-1,2,-1
11062,9,4,1,2,-1,0,150,40,-1,2,-1
11063,9,4,1,2,-1,0,150,40,-1,2,-1
11064,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11065,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11066,14,2,1,1,4,0,80,100,-1,-1,-1
11067,14,2,1,4,4,0,80,100,-1,-1,-1
11068,14,1,7,1,1,0,-1,-1,-1,-1,-1
11069,7,2,1,1,4,0,100,-1,-1,2,-1
11070,7,2,1,1,4,0,100,-1,-1,2,-1
11071,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1
11072,10,5,4,2,1,4,300,30,80,1,620
11073,10,5,4,2,4,0,300,30,80,1,620
11074,10,5,4,2,1,0,300,30,80,1,620
11075,10,5,4,2,4,0,300,30,80,1,620
11076,10,5,4,2,-1,0,300,30,80,1,620
11077,5,3,3,2,4,0,50,-1,-1,2,-1
11078,5,3,3,2,4,0,50,-1,-1,2,-1
11079,5,3,3,2,4,0,50,-1,-1,2,-1
11080,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11081,6,3,1,1,4,0,-1,-1,20,2,-1
11082,6,3,1,1,4,0,-1,-1,20,2,-1
11083,6,3,1,1,-1,0,-1,-1,20,2,-1
11084,13,3,1,1,1,3,100,30,50,-1,-1
11085,13,3,1,1,1,3,100,30,50,-1,-1
11086,13,3,1,1,-1,0,100,30,50,-1,-1
11087,15,2,1,1,1,0,100,60,-1,-1,-1
11088,15,2,1,1,1,0,100,60,-1,-1,-1
11089,13,4,1,2,1,0,250,200,-1,-1,-1
11090,13,4,1,2,1,0,250,200,-1,-1,-1
11091,13,4,1,2,1,4,250,200,-1,-1,-1
11092,13,4,1,2,4,0,250,200,-1,-1,-1
11093,12,1,7,1,1,0,70,10,-1,-1,-1
11094,14,2,1,2,4,0,230,-1,-1,-1,-1
11095,14,2,1,2,1,0,230,-1,-1,-1,-1
11096,10,1,7,4,4,0,-1,-1,-1,-1,-1
11097,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11098,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11099,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11100,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11101,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11102,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11103,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11104,4,1,7,1,4,0,80,-1,-1,1,60
11105,7,2,1,1,4,0,50,-1,-1,2,-1
11106,7,2,1,1,4,0,50,-1,-1,2,-1
11107,7,1,6,1,4,0,-1,-1,-1,-1,-1
11108,16,4,1,1,1,0,100,30,-1,-1,-1
11109,16,4,1,1,1,0,100,30,-1,-1,-1
11110,16,4,1,1,1,0,100,30,-1,-1,-1
11111,16,4,1,1,1,0,100,30,-1,-1,-1
11112,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11113,11,1,6,1,1,0,-1,10,-1,-1,-1
11114,3,2,4,1,4,0,70,-1,-1,1,-1
11115,3,2,4,1,4,0,70,-1,-1,1,-1
11116,14,4,1,1,1,4,160,40,-1,-1,-1
11117,14,4,1,1,1,4,160,40,-1,-1,-1
