,HEFAMINC,HRNUMHOU,HRHTYPE,PTDTRACE,PREMPNOT,PRCHLD,PRNMCHLD,HETS2O,HETS6O,HETS8CO,HESP1,HETSP3O
2981,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
2982,8,1,7,2,1,0,0,50,10,-1,2,-1
2983,5,2,1,2,4,0,0,90,30,-1,2,-1
2984,5,2,1,2,4,0,0,90,30,-1,2,-1
2985,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
2986,11,2,3,2,4,0,0,100,-1,-1,-1,-1
2987,11,2,3,2,4,0,0,100,-1,-1,-1,-1
2988,2,2,4,2,4,0,0,130,60,180,2,-1
2989,2,2,4,2,1,0,0,130,60,180,2,-1
2990,5,1,7,2,1,0,0,-1,4,-1,2,-1
2991,4,3,4,2,1,8,2,100,60,-1,1,540
2992,4,3,4,2,-1,0,0,100,60,-1,1,540
2993,4,3,4,2,-1,0,0,100,60,-1,1,540
2994,4,2,4,2,1,2,1,-1,10,-1,2,-1
2995,4,2,4,2,-1,0,0,-1,10,-1,2,-1
2996,10,1,7,2,1,0,0,-1,-1,-1,-1,-1
2997,7,2,1,1,4,0,0,-1,-1,-1,-1,-1
2998,7,2,1,1,1,0,0,-1,-1,-1,-1,-1
2999,14,3,1,1,1,4,1,-1,-1,-1,-1,-1
3000,14,3,1,1,1,4,1,-1,-1,-1,-1,-1
3001,14,3,1,1,4,0,0,-1,-1,-1,-1,-1
3002,9,2,4,1,1,2,1,-1,-1,-1,-1,-1
3003,9,2,4,1,-1,0,0,-1,-1,-1,-1,-1
3004,4,1,6,1,4,0,0,-1,-1,-1,2,-1
3005,14,6,1,2,1,11,4,-1,-1,-1,-1,-1
3006,14,6,1,2,1,11,4,-1,-1,-1,-1,-1
3007,14,6,1,2,-1,0,0,-1,-1,-1,-1,-1
3008,14,6,1,2,-1,0,0,-1,-1,-1,-1,-1
3009,14,6,1,2,-1,0,0,-1,-1,-1,-1,-1
3010,14,6,1,2,-1,0,0,-1,-1,-1,-1,-1
3011,15,2,4,2,4,0,0,30,30,20,2,-1
3012,15,2,4,2,1,0,0,30,30,20,2,-1
3013,14,2,1,2,1,0,0,110,40,-1,-1,-1
3014,14,2,1,2,1,0,0,110,40,-1,-1,-1
3015,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3016,12,1,6,1,4,0,0,-1,-1,-1,-1,-1
3017,12,1,6,1,1,0,0,130,-1,-1,-1,-1
3018,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3019,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3020,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3021,11,1,6,1,1,0,0,60,60,-1,-1,-1
3022,7,1,7,1,1,0,0,20,-1,-1,2,-1
3023,15,2,1,1,4,0,0,100,30,-1,-1,-1
3024,15,2,1,1,4,0,0,100,30,-1,-1,-1
3025,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3026,9,1,6,1,4,0,0,150,-1,-1,-1,-1
3027,8,2,3,1,4,0,0,-1,-1,-1,-1,-1
3028,8,2,3,1,4,0,0,-1,-1,-1,-1,-1
3029,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3030,10,2,1,1,1,0,0,80,10,-1,-1,-1
3031,10,2,1,1,4,0,0,80,10,-1,-1,-1
3032,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3033,9,3,6,2,4,0,0,-1,10,-1,1,200
3034,9,3,6,2,4,0,0,-1,10,-1,1,200
3035,9,3,6,2,4,0,0,-1,10,-1,1,200
3036,5,2,3,1,4,0,0,150,-1,-1,2,-1
3037,5,2,3,1,4,0,0,150,-1,-1,2,-1
3038,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3039,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3040,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3041,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3042,5,1,7,2,4,0,0,-1,-1,100,2,-1
3043,6,2,7,1,4,0,0,-1,-1,-1,-1,-1
3044,6,2,7,1,4,0,0,-1,-1,-1,-1,-1
3045,8,1,6,1,4,0,0,-1,-1,-1,-1,-1
3046,14,2,4,1,1,0,0,-1,-1,-1,-1,-1
3047,14,2,4,1,1,0,0,-1,-1,-1,-1,-1
3048,8,1,7,1,4,0,0,-1,-1,-1,-1,-1
3049,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3050,10,2,1,1,4,0,0,-1,-1,-1,-1,-1
3051,10,2,1,1,4,0,0,-1,-1,-1,-1,-1
3052,8,2,1,1,4,0,0,80,-1,-1,-1,-1
3053,8,2,1,1,4,0,0,80,-1,-1,-1,-1
3054,5,1,7,1,1,0,0,-1,40,-1,2,-1
3055,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3056,15,2,1,1,4,0,0,150,150,-1,-1,-1
3057,15,2,1,1,1,0,0,150,150,-1,-1,-1
3058,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3059,12,4,1,2,4,3,2,150,-1,-1,2,-1
3060,12,4,1,2,4,3,2,150,-1,-1,2,-1
3061,12,4,1,2,-1,0,0,150,-1,-1,2,-1
3062,12,4,1,2,-1,0,0,150,-1,-1,2,-1
3063,16,2,1,2,1,0,0,70,50,-1,-1,-1
3064,16,2,1,2,1,0,0,70,50,-1,-1,-1
3065,13,2,1,1,4,0,0,80,-1,-1,-1,-1
3066,13,2,1,1,1,0,0,80,-1,-1,-1,-1
3067,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3068,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3069,7,4,1,1,4,0,0,200,20,-1,2,-1
3070,7,4,1,1,4,0,0,200,20,-1,2,-1
3071,7,4,1,1,4,0,0,200,20,-1,2,-1
3072,7,4,1,1,1,0,0,200,20,-1,2,-1
3073,14,3,3,1,1,1,1,-1,-1,-1,-1,-1
3074,14,3,3,1,1,0,0,-1,-1,-1,-1,-1
3075,14,3,3,1,-1,0,0,-1,-1,-1,-1,-1
3076,3,1,7,1,4,0,0,60,-1,-1,1,130
3077,3,1,6,2,4,0,0,-1,-1,-1,-1,-1
3078,9,2,1,1,1,0,0,130,-1,-1,2,-1
3079,9,2,1,1,1,0,0,130,-1,-1,2,-1
3080,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3081,10,3,4,2,1,4,1,120,50,-1,2,-1
3082,10,3,4,2,4,0,0,120,50,-1,2,-1
3083,10,3,4,2,1,0,0,120,50,-1,2,-1
3084,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3085,9,1,7,1,1,0,0,110,-1,-1,2,-1
3086,14,3,1,1,1,0,0,160,60,-1,-1,-1
3087,14,3,1,1,1,0,0,160,60,-1,-1,-1
3088,14,3,1,1,2,0,0,160,60,-1,-1,-1
3089,5,1,7,2,4,0,0,60,-1,20,1,20
3090,4,1,7,1,1,0,0,160,20,20,1,200
3091,7,1,7,1,1,0,0,-1,40,-1,2,-1
3092,5,1,7,1,4,0,0,60,-1,-1,2,-1
3093,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3094,11,2,1,1,4,0,0,100,-1,-1,-1,-1
3095,11,2,1,1,4,0,0,100,-1,-1,-1,-1
3096,8,1,6,1,1,0,0,-2,30,-1,2,-1
3097,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3098,3,1,6,2,4,0,0,-1,-1,-1,-1,-1
3099,9,1,7,2,1,0,0,-1,-1,-1,-1,-1
3100,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3101,14,2,1,1,4,0,0,-1,-1,-1,-1,-1
3102,14,2,1,1,1,0,0,-1,-1,-1,-1,-1
3103,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3104,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3105,11,4,1,1,1,5,2,-1,-1,-1,-1,-1
3106,11,4,1,1,1,5,2,-1,-1,-1,-1,-1
3107,11,4,1,1,-1,0,0,-1,-1,-1,-1,-1
3108,11,4,1,1,-1,0,0,-1,-1,-1,-1,-1
3109,14,1,7,1,1,0,0,250,30,-1,2,-1
3110,16,2,1,1,1,0,0,-1,-1,-1,-1,-1
3111,16,2,1,1,4,0,0,-1,-1,-1,-1,-1
3112,5,2,4,1,4,0,0,120,-1,-1,2,-1
3113,5,2,4,1,-1,0,0,120,-1,-1,2,-1
3114,13,2,1,1,1,0,0,120,-1,-1,-1,-1
3115,13,2,1,1,4,0,0,120,-1,-1,-1,-1
3116,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3117,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3118,10,3,4,2,1,1,1,220,50,-1,1,500
3119,10,3,4,2,1,1,1,220,50,-1,1,500
3120,10,3,4,2,-1,0,0,220,50,-1,1,500
3121,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3122,9,1,7,1,4,0,0,-1,-1,-1,2,-1
3123,14,1,7,1,1,0,0,130,50,-1,-1,-1
3124,16,2,1,1,4,0,0,-1,-1,-1,-1,-1
3125,16,2,1,1,4,0,0,-1,-1,-1,-1,-1
3126,15,4,1,7,1,3,2,120,70,60,2,-1
3127,15,4,1,1,1,3,2,120,70,60,2,-1
3128,15,4,1,7,-1,0,0,120,70,60,2,-1
3129,15,4,1,7,-1,0,0,120,70,60,2,-1
3130,6,1,7,1,4,0,0,110,20,-1,-1,-1
3131,8,1,6,2,1,0,0,50,20,-1,2,-1
3132,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3133,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3134,15,1,6,1,4,0,0,80,30,-1,-1,-1
3135,11,2,1,1,4,0,0,100,50,-1,-1,-1
3136,11,2,1,1,4,0,0,100,50,-1,-1,-1
3137,12,2,1,1,4,0,0,130,50,-1,-1,-1
3138,12,2,1,1,4,0,0,130,50,-1,-1,-1
3139,15,1,6,2,4,0,0,-1,-2,-1,-1,-1
3140,16,3,1,1,1,0,0,180,20,-1,-1,-1
3141,16,3,1,1,1,0,0,180,20,-1,-1,-1
3142,16,3,1,1,1,0,0,180,20,-1,-1,-1
3143,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3144,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3145,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3146,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3147,10,1,6,2,1,0,0,80,4,-1,2,-1
3148,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3149,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3150,6,1,7,1,4,0,0,40,-1,-1,2,-1
3151,13,3,1,2,1,0,0,-1,40,-1,-1,-1
3152,13,3,1,2,1,0,0,-1,40,-1,-1,-1
3153,13,3,1,2,4,0,0,-1,40,-1,-1,-1
3154,12,2,1,2,1,0,0,350,80,100,2,-1
3155,12,2,1,2,1,0,0,350,80,100,2,-1
3156,10,2,3,2,4,0,0,50,-1,-1,-1,-1
3157,10,2,3,2,4,0,0,50,-1,-1,-1,-1
3158,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3159,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3160,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3161,3,1,7,2,4,0,0,100,-1,30,1,190
3162,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3163,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3164,2,2,3,2,4,0,0,-2,-1,50,2,-1
3165,2,2,3,2,4,0,0,-2,-1,50,2,-1
3166,2,1,7,2,4,0,0,-1,-1,-1,1,100
3167,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3168,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3169,10,2,1,1,1,0,0,-1,-1,-1,-1,-1
3170,10,2,1,1,1,0,0,-1,-1,-1,-1,-1
3171,13,1,7,2,1,0,0,100,80,-1,-1,-1
