,FIPS,State,"County, State",2018 Food Insecurity Rate,# of Food Insecure Persons in 2018,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2018 Child food insecurity rate,# of Food Insecure Children in 2018,% food insecure children in HH w/ HH incomes below 185 FPL in 2018,% food insecure children in HH w/ HH incomes above 185 FPL in 2018,2018 Cost Per Meal,2018 Weighted Annual Food Budget Shortfall
1401,28001,MS,"Adams County, Mississippi",0.227,7180,1.3,SNAP,1.85,Other Nutrition Program,0.677,0.032,0.292,0.313,2070,0.61,0.39,3.05,3703000
1402,28003,MS,"Alcorn County, Mississippi",0.168,6250,1.3,SNAP,1.85,Other Nutrition Program,0.539,0.251,0.21,0.193,1690,1.0,0.0,2.73,2885000
1403,28005,MS,"Amite County, Mississippi",0.193,2400,1.3,SNAP,1.85,Other Nutrition Program,0.609,0.222,0.169,0.246,640,0.73,0.28,3.15,1280000
1404,28007,MS,"Attala County, Mississippi",0.202,3760,1.3,SNAP,1.85,Other Nutrition Program,0.636,0.219,0.145,0.247,1170,0.86,0.14,3.17,2019000
1405,28009,MS,"Benton County, Mississippi",0.186,1540,1.3,SNAP,1.85,Other Nutrition Program,0.579,0.134,0.287,0.205,370,0.87,0.13,2.99,780000
1406,28011,MS,"Bolivar County, Mississippi",0.241,7860,1.3,SNAP,1.85,Other Nutrition Program,0.776,0.028,0.195,0.288,2350,0.67,0.34,3.04,4042000
1407,28013,MS,"Calhoun County, Mississippi",0.195,2840,1.3,SNAP,1.85,Other Nutrition Program,0.598,0.134,0.268,0.254,890,0.75,0.25,3.1,1491000
1408,28015,MS,"Carroll County, Mississippi",0.165,1680,1.3,SNAP,1.85,Other Nutrition Program,0.47,0.185,0.345,0.195,380,0.73,0.27,3.05,868000
1409,28017,MS,"Chickasaw County, Mississippi",0.18,3110,1.3,SNAP,1.85,Other Nutrition Program,0.601,0.258,0.141,0.215,930,0.95,0.05,3.01,1586000
1410,28019,MS,"Choctaw County, Mississippi",0.199,1660,1.3,SNAP,1.85,Other Nutrition Program,0.551,0.17,0.279,0.268,490,0.69,0.31,3.22,904000
1411,28021,MS,"Claiborne County, Mississippi",0.271,2470,1.3,SNAP,1.85,Other Nutrition Program,0.861,0.139,0.0,0.37,740,0.53,0.47,3.15,1318000
1412,28023,MS,"Clarke County, Mississippi",0.185,2940,1.3,SNAP,1.85,Other Nutrition Program,0.532,0.148,0.321,0.246,890,0.63,0.38,2.98,1483000
