,Unnamed: 0,FAMILY_INCOME,HOUSEHOLD_TYPE,RACE,EMPLOYMENT_STATUS,PRCHLD,HOUSEHOLD_PURCHASES_GROCERIES,HOUSEHOLD_PURCHASES_RESTAURANTS,AMOUNT_NEEDED_TO_MEET_HOUSEHOLD_FOOD_NEED,Y/N_RECEVIED_FOODBENEFITS_PAST12MONTHS,FOODSTAMPS_AMT_PERMONTH
0,2981,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
1,2982,8,7,2,1,0,50,10,-1,2,-1
2,2983,5,1,2,4,0,90,30,-1,2,-1
3,2984,5,1,2,4,0,90,30,-1,2,-1
4,2985,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
5,2986,11,3,2,4,0,100,-1,-1,-1,-1
6,2987,11,3,2,4,0,100,-1,-1,-1,-1
7,2988,2,4,2,4,0,130,60,180,2,-1
8,2989,2,4,2,1,0,130,60,180,2,-1
9,2990,5,7,2,1,0,-1,4,-1,2,-1
10,2991,4,4,2,1,8,100,60,-1,1,540
11,2992,4,4,2,-1,0,100,60,-1,1,540
12,2993,4,4,2,-1,0,100,60,-1,1,540
13,2994,4,4,2,1,2,-1,10,-1,2,-1
14,2995,4,4,2,-1,0,-1,10,-1,2,-1
15,2996,10,7,2,1,0,-1,-1,-1,-1,-1
16,2997,7,1,1,4,0,-1,-1,-1,-1,-1
17,2998,7,1,1,1,0,-1,-1,-1,-1,-1
18,2999,14,1,1,1,4,-1,-1,-1,-1,-1
19,3000,14,1,1,1,4,-1,-1,-1,-1,-1
20,3001,14,1,1,4,0,-1,-1,-1,-1,-1
21,3002,9,4,1,1,2,-1,-1,-1,-1,-1
22,3003,9,4,1,-1,0,-1,-1,-1,-1,-1
23,3004,4,6,1,4,0,-1,-1,-1,2,-1
24,3005,14,1,2,1,11,-1,-1,-1,-1,-1
25,3006,14,1,2,1,11,-1,-1,-1,-1,-1
26,3007,14,1,2,-1,0,-1,-1,-1,-1,-1
27,3008,14,1,2,-1,0,-1,-1,-1,-1,-1
28,3009,14,1,2,-1,0,-1,-1,-1,-1,-1
29,3010,14,1,2,-1,0,-1,-1,-1,-1,-1
30,3011,15,4,2,4,0,30,30,20,2,-1
31,3012,15,4,2,1,0,30,30,20,2,-1
32,3013,14,1,2,1,0,110,40,-1,-1,-1
33,3014,14,1,2,1,0,110,40,-1,-1,-1
34,3015,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
35,3016,12,6,1,4,0,-1,-1,-1,-1,-1
36,3017,12,6,1,1,0,130,-1,-1,-1,-1
37,3018,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
38,3019,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
39,3020,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
40,3021,11,6,1,1,0,60,60,-1,-1,-1
41,3022,7,7,1,1,0,20,-1,-1,2,-1
42,3023,15,1,1,4,0,100,30,-1,-1,-1
43,3024,15,1,1,4,0,100,30,-1,-1,-1
44,3025,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
45,3026,9,6,1,4,0,150,-1,-1,-1,-1
46,3027,8,3,1,4,0,-1,-1,-1,-1,-1
47,3028,8,3,1,4,0,-1,-1,-1,-1,-1
48,3029,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
49,3030,10,1,1,1,0,80,10,-1,-1,-1
50,3031,10,1,1,4,0,80,10,-1,-1,-1
51,3032,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
52,3033,9,6,2,4,0,-1,10,-1,1,200
53,3034,9,6,2,4,0,-1,10,-1,1,200
54,3035,9,6,2,4,0,-1,10,-1,1,200
55,3036,5,3,1,4,0,150,-1,-1,2,-1
56,3037,5,3,1,4,0,150,-1,-1,2,-1
57,3038,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
58,3039,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
59,3040,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
60,3041,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
61,3042,5,7,2,4,0,-1,-1,100,2,-1
62,3043,6,7,1,4,0,-1,-1,-1,-1,-1
63,3044,6,7,1,4,0,-1,-1,-1,-1,-1
64,3045,8,6,1,4,0,-1,-1,-1,-1,-1
65,3046,14,4,1,1,0,-1,-1,-1,-1,-1
66,3047,14,4,1,1,0,-1,-1,-1,-1,-1
67,3048,8,7,1,4,0,-1,-1,-1,-1,-1
68,3049,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
69,3050,10,1,1,4,0,-1,-1,-1,-1,-1
70,3051,10,1,1,4,0,-1,-1,-1,-1,-1
71,3052,8,1,1,4,0,80,-1,-1,-1,-1
72,3053,8,1,1,4,0,80,-1,-1,-1,-1
73,3054,5,7,1,1,0,-1,40,-1,2,-1
74,3055,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
75,3056,15,1,1,4,0,150,150,-1,-1,-1
76,3057,15,1,1,1,0,150,150,-1,-1,-1
77,3058,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
78,3059,12,1,2,4,3,150,-1,-1,2,-1
79,3060,12,1,2,4,3,150,-1,-1,2,-1
80,3061,12,1,2,-1,0,150,-1,-1,2,-1
81,3062,12,1,2,-1,0,150,-1,-1,2,-1
82,3063,16,1,2,1,0,70,50,-1,-1,-1
83,3064,16,1,2,1,0,70,50,-1,-1,-1
84,3065,13,1,1,4,0,80,-1,-1,-1,-1
85,3066,13,1,1,1,0,80,-1,-1,-1,-1
86,3067,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
87,3068,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
88,3069,7,1,1,4,0,200,20,-1,2,-1
89,3070,7,1,1,4,0,200,20,-1,2,-1
90,3071,7,1,1,4,0,200,20,-1,2,-1
91,3072,7,1,1,1,0,200,20,-1,2,-1
92,3073,14,3,1,1,1,-1,-1,-1,-1,-1
93,3074,14,3,1,1,0,-1,-1,-1,-1,-1
94,3075,14,3,1,-1,0,-1,-1,-1,-1,-1
95,3076,3,7,1,4,0,60,-1,-1,1,130
96,3077,3,6,2,4,0,-1,-1,-1,-1,-1
97,3078,9,1,1,1,0,130,-1,-1,2,-1
98,3079,9,1,1,1,0,130,-1,-1,2,-1
99,3080,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
100,3081,10,4,2,1,4,120,50,-1,2,-1
101,3082,10,4,2,4,0,120,50,-1,2,-1
102,3083,10,4,2,1,0,120,50,-1,2,-1
103,3084,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
104,3085,9,7,1,1,0,110,-1,-1,2,-1
105,3086,14,1,1,1,0,160,60,-1,-1,-1
106,3087,14,1,1,1,0,160,60,-1,-1,-1
107,3088,14,1,1,2,0,160,60,-1,-1,-1
108,3089,5,7,2,4,0,60,-1,20,1,20
109,3090,4,7,1,1,0,160,20,20,1,200
110,3091,7,7,1,1,0,-1,40,-1,2,-1
111,3092,5,7,1,4,0,60,-1,-1,2,-1
112,3093,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
113,3094,11,1,1,4,0,100,-1,-1,-1,-1
114,3095,11,1,1,4,0,100,-1,-1,-1,-1
115,3096,8,6,1,1,0,-2,30,-1,2,-1
116,3097,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
117,3098,3,6,2,4,0,-1,-1,-1,-1,-1
118,3099,9,7,2,1,0,-1,-1,-1,-1,-1
119,3100,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
120,3101,14,1,1,4,0,-1,-1,-1,-1,-1
121,3102,14,1,1,1,0,-1,-1,-1,-1,-1
122,3103,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
123,3104,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
124,3105,11,1,1,1,5,-1,-1,-1,-1,-1
125,3106,11,1,1,1,5,-1,-1,-1,-1,-1
126,3107,11,1,1,-1,0,-1,-1,-1,-1,-1
127,3108,11,1,1,-1,0,-1,-1,-1,-1,-1
128,3109,14,7,1,1,0,250,30,-1,2,-1
129,3110,16,1,1,1,0,-1,-1,-1,-1,-1
130,3111,16,1,1,4,0,-1,-1,-1,-1,-1
131,3112,5,4,1,4,0,120,-1,-1,2,-1
132,3113,5,4,1,-1,0,120,-1,-1,2,-1
133,3114,13,1,1,1,0,120,-1,-1,-1,-1
134,3115,13,1,1,4,0,120,-1,-1,-1,-1
135,3116,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
136,3117,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
137,3118,10,4,2,1,1,220,50,-1,1,500
138,3119,10,4,2,1,1,220,50,-1,1,500
139,3120,10,4,2,-1,0,220,50,-1,1,500
140,3121,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
141,3122,9,7,1,4,0,-1,-1,-1,2,-1
142,3123,14,7,1,1,0,130,50,-1,-1,-1
143,3124,16,1,1,4,0,-1,-1,-1,-1,-1
144,3125,16,1,1,4,0,-1,-1,-1,-1,-1
145,3126,15,1,7,1,3,120,70,60,2,-1
146,3127,15,1,1,1,3,120,70,60,2,-1
147,3128,15,1,7,-1,0,120,70,60,2,-1
148,3129,15,1,7,-1,0,120,70,60,2,-1
149,3130,6,7,1,4,0,110,20,-1,-1,-1
150,3131,8,6,2,1,0,50,20,-1,2,-1
151,3132,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
152,3133,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
153,3134,15,6,1,4,0,80,30,-1,-1,-1
154,3135,11,1,1,4,0,100,50,-1,-1,-1
155,3136,11,1,1,4,0,100,50,-1,-1,-1
156,3137,12,1,1,4,0,130,50,-1,-1,-1
157,3138,12,1,1,4,0,130,50,-1,-1,-1
158,3139,15,6,2,4,0,-1,-2,-1,-1,-1
159,3140,16,1,1,1,0,180,20,-1,-1,-1
160,3141,16,1,1,1,0,180,20,-1,-1,-1
161,3142,16,1,1,1,0,180,20,-1,-1,-1
162,3143,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
163,3144,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
164,3145,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
165,3146,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
166,3147,10,6,2,1,0,80,4,-1,2,-1
167,3148,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
168,3149,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
169,3150,6,7,1,4,0,40,-1,-1,2,-1
170,3151,13,1,2,1,0,-1,40,-1,-1,-1
171,3152,13,1,2,1,0,-1,40,-1,-1,-1
172,3153,13,1,2,4,0,-1,40,-1,-1,-1
173,3154,12,1,2,1,0,350,80,100,2,-1
174,3155,12,1,2,1,0,350,80,100,2,-1
175,3156,10,3,2,4,0,50,-1,-1,-1,-1
176,3157,10,3,2,4,0,50,-1,-1,-1,-1
177,3158,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
178,3159,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
179,3160,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
180,3161,3,7,2,4,0,100,-1,30,1,190
181,3162,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
182,3163,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
183,3164,2,3,2,4,0,-2,-1,50,2,-1
184,3165,2,3,2,4,0,-2,-1,50,2,-1
185,3166,2,7,2,4,0,-1,-1,-1,1,100
186,3167,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
187,3168,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
188,3169,10,1,1,1,0,-1,-1,-1,-1,-1
189,3170,10,1,1,1,0,-1,-1,-1,-1,-1
190,3171,13,7,2,1,0,100,80,-1,-1,-1
191,3172,13,1,2,1,4,80,40,-1,-1,-1
192,3173,13,1,2,1,4,80,40,-1,-1,-1
