,RACE,AMOUNT_NEEDED_TO_MEET_HOUSEHOLD_FOOD_NEED,FOODSTAMPS_AMT_PERMONTH,HOUSEHOLD_PURCHASES_RESTAURANTS,HOUSEHOLD_PURCHASES_GROCERIES,FAMILY_INCOME
0,White Only,20.0,,,,
1,White Only,50.0,,,,
2,White Only,50.0,,,,
3,White Only,50.0,,,,
4,Black Only,60.0,,,,
5,Black Only,60.0,,,,
6,Black Only,60.0,,,,
7,Black Only,80.0,,,,
8,Black Only,30.0,,,,
9,White Only,50.0,,,,
10,White Only,50.0,,,,
11,White Only,50.0,,,,
12,White Only,50.0,,,,
13,Black Only,30.0,,,,
14,White Only,100.0,,,,
15,White Only,100.0,,,,
16,Black Only,50.0,,,,
17,Black Only,50.0,,,,
18,Black Only,200.0,,,,
19,Black Only,200.0,,,,
20,White Only,10.0,,,,
21,Black Only,30.0,,,,
22,Black Only,50.0,,,,
23,Black Only,100.0,,,,
24,Black Only,100.0,,,,
25,Black Only,100.0,,,,
26,Black Only,100.0,,,,
27,Black Only,150.0,,,,
28,Black Only,150.0,,,,
29,Black Only,40.0,,,,
30,Black Only,50.0,,,,
31,Black Only,50.0,,,,
32,White Only,20.0,,,,
33,White Only,20.0,,,,
34,White Only,200.0,,,,
35,White Only,200.0,,,,
36,White Only,200.0,,,,
37,Black Only,80.0,,,,
38,Black Only,80.0,,,,
39,Black Only,80.0,,,,
40,Black Only,80.0,,,,
41,Black Only,80.0,,,,
42,White Only,20.0,,,,
43,White Only,20.0,,,,
44,White Only,20.0,,,,
45,White Only,50.0,,,,
46,White Only,50.0,,,,
47,White Only,50.0,,,,
48,Black Only,50.0,,,,
49,Black Only,50.0,,,,
50,Black Only,50.0,,,,
51,Black Only,50.0,,,,
52,White Only,50.0,,,,
53,White Only,50.0,,,,
54,Black Only,100.0,,,,
55,Black Only,60.0,,,,
56,Black Only,60.0,,,,
57,Black Only,60.0,,,,
58,Black Only,60.0,,,,
59,Black Only,60.0,,,,
60,Black Only,60.0,,,,
61,Black Only,30.0,,,,
62,White Only,60.0,,,,
63,White Only,100.0,,,,
64,Black Only,100.0,,,,
65,Black Only,100.0,,,,
66,Black Only,100.0,,,,
67,White Only,50.0,,,,
68,Black Only,40.0,,,,
69,Black Only,40.0,,,,
70,White Only,20.0,,,,
71,White Only,100.0,,,,
72,White Only,40.0,,,,
73,White Only,40.0,,,,
74,White Only,40.0,,,,
75,Black Only,30.0,,,,
76,Black Only,30.0,,,,
77,Black Only,200.0,,,,
78,Black Only,200.0,,,,
79,Black Only,200.0,,,,
80,Black Only,200.0,,,,
81,Black Only,200.0,,,,
82,Black Only,200.0,,,,
83,Black Only,50.0,,,,
84,Black Only,50.0,,,,
85,White Only,30.0,,,,
86,Black Only,60.0,,,,
87,Black Only,60.0,,,,
88,Black Only,60.0,,,,
89,White Only,50.0,,,,
90,White Only,50.0,,,,
91,White Only,50.0,,,,
92,Black Only,80.0,,,,
93,Black Only,80.0,,,,
94,Black Only,80.0,,,,
95,Black Only,80.0,,,,
96,Black Only,30.0,,,,
97,Black Only,30.0,,,,
98,Black Only,30.0,,,,
99,White Only,30.0,,,,
100,White Only,30.0,,,,
101,White Only,30.0,,,,
102,White-Black,30.0,,,,
103,White-Black,30.0,,,,
104,Black Only,50.0,,,,
105,Black Only,50.0,,,,
106,Black Only,50.0,,,,
107,White Only,40.0,,,,
108,White Only,40.0,,,,
109,White Only,40.0,,,,
110,White Only,30.0,,,,
111,White Only,30.0,,,,
112,White Only,30.0,,,,
113,White Only,30.0,,,,
114,White Only,10.0,,,,
115,White Only,10.0,,,,
116,White Only,60.0,,,,
117,White Only,60.0,,,,
118,White Only,20.0,,,,
119,White Only,20.0,,,,
120,White Only,100.0,,,,
121,Black Only,150.0,,,,
122,Black Only,150.0,,,,
123,Black Only,150.0,,,,
124,White Only,150.0,,,,
125,White Only,150.0,,,,
126,White Only,150.0,,,,
127,White Only,150.0,,,,
128,White Only,100.0,,,,
129,White Only,100.0,,,,
130,Black Only,100.0,,,,
131,Black Only,100.0,,,,
132,Black Only,100.0,,,,
133,Black Only,100.0,,,,
134,Black Only,100.0,,,,
135,Black Only,100.0,,,,
136,White Only,50.0,,,,
137,Black Only,30.0,,,,
138,Black Only,30.0,,,,
139,Black Only,30.0,,,,
140,White Only,20.0,,,,
141,White Only,10.0,,,,
142,White Only,10.0,,,,
143,White Only,10.0,,,,
144,White Only,50.0,,,,
145,White Only,50.0,,,,
146,White Only,80.0,,,,
147,White Only,80.0,,,,
148,White Only,40.0,,,,
149,White Only,40.0,,,,
150,White Only,40.0,,,,
151,Black Only,40.0,,,,
152,Black Only,30.0,,,,
153,Black Only,30.0,,,,
154,Black Only,30.0,,,,
155,Black Only,30.0,,,,
156,White Only,100.0,,,,
157,White Only,50.0,,,,
158,White Only,50.0,,,,
159,White Only,50.0,,,,
160,White-Black,50.0,,,,
161,White-Black,50.0,,,,
162,White-Black,50.0,,,,
163,White-Black,50.0,,,,
164,Black Only,30.0,,,,
165,White Only,50.0,,,,
166,White Only,50.0,,,,
167,White Only,20.0,,,,
168,White Only,20.0,,,,
169,White Only,20.0,,,,
170,White Only,40.0,,,,
171,Black Only,40.0,,,,
172,Black Only,40.0,,,,
173,Black Only,40.0,,,,
174,Black Only,40.0,,,,
175,Black Only,40.0,,,,
176,White Only,20.0,,,,
177,White Only,30.0,,,,
178,White Only,30.0,,,,
179,Black Only,60.0,,,,
180,Black Only,60.0,,,,
181,White Only,100.0,,,,
182,White Only,100.0,,,,
183,White Only,100.0,,,,
184,White Only,100.0,,,,
185,White Only,100.0,,,,
186,White Only,100.0,,,,
187,White Only,100.0,,,,
188,White Only,100.0,,,,
189,White Only,100.0,,,,
190,Black Only,100.0,,,,
191,Black Only,100.0,,,,
192,White Only,20.0,,,,
193,White Only,20.0,,,,
194,White Only,10.0,,,,
195,Black Only,50.0,,,,
196,Black Only,50.0,,,,
197,Black Only,50.0,,,,
198,White Only,100.0,,,,
199,White Only,100.0,,,,
200,White Only,100.0,,,,
201,White Only,100.0,,,,
202,Black Only,100.0,,,,
203,Black Only,100.0,,,,
204,Black Only,100.0,,,,
205,Black Only,100.0,,,,
206,Black Only,30.0,,,,
207,Black Only,20.0,,,,
208,Black Only,20.0,,,,
209,Black Only,20.0,,,,
210,Black Only,20.0,,,,
211,Black Only,50.0,,,,
212,Black Only,50.0,,,,
213,Black Only,100.0,,,,
214,Black Only,100.0,,,,
215,White Only,50.0,,,,
216,White Only,50.0,,,,
217,White Only,80.0,,,,
218,White Only,80.0,,,,
219,White Only,80.0,,,,
220,White Only,80.0,,,,
221,White Only,20.0,,,,
222,White Only,20.0,,,,
223,White Only,40.0,,,,
224,Black Only,30.0,,,,
225,Black Only,30.0,,,,
226,Black Only,50.0,,,,
227,Black Only,50.0,,,,
228,Black Only,50.0,,,,
229,Black Only,100.0,,,,
230,Black Only,100.0,,,,
231,Black Only,100.0,,,,
232,Black Only,40.0,,,,
233,Black Only,50.0,,,,
234,Black Only,50.0,,,,
235,Black Only,50.0,,,,
236,Black Only,50.0,,,,
237,Black Only,50.0,,,,
238,Black Only,50.0,,,,
239,Black Only,20.0,,,,
240,Black Only,20.0,,,,
241,White Only,10.0,,,,
242,White Only,10.0,,,,
243,Black Only,40.0,,,,
244,Black Only,40.0,,,,
245,Black Only,30.0,,,,
246,Black Only,30.0,,,,
247,Black Only,60.0,,,,
248,Black Only,60.0,,,,
249,Black Only,120.0,,,,
250,Black Only,120.0,,,,
251,Black Only,120.0,,,,
252,Black Only,120.0,,,,
253,Black Only,50.0,,,,
254,Black Only,50.0,,,,
255,Black Only,40.0,,,,
256,White Only,60.0,,,,
257,White Only,60.0,,,,
258,White Only,10.0,,,,
259,White Only,30.0,,,,
260,White Only,30.0,,,,
261,Black Only,30.0,,,,
262,White Only,100.0,,,,
263,White Only,100.0,,,,
264,White Only,100.0,,,,
265,White Only,100.0,,,,
266,Black Only,20.0,,,,
267,Black Only,100.0,,,,
268,Black Only,100.0,,,,
269,Black Only,70.0,,,,
270,White Only,20.0,,,,
271,White Only,80.0,,,,
272,Black Only,20.0,,,,
273,Black Only,20.0,,,,
274,Black Only,20.0,,,,
275,Black Only,40.0,,,,
276,Black Only,40.0,,,,
277,Black Only,200.0,,,,
278,Black Only,200.0,,,,
279,Black Only,200.0,,,,
280,Black Only,200.0,,,,
281,Black Only,200.0,,,,
282,Black Only,40.0,,,,
283,Black Only,40.0,,,,
284,Black Only,40.0,,,,
285,Black Only,40.0,,,,
286,Black Only,80.0,,,,
287,Black Only,80.0,,,,
288,Black Only,80.0,,,,
289,White Only,40.0,,,,
290,White Only,40.0,,,,
291,Black Only,200.0,,,,
292,Black Only,200.0,,,,
293,Black Only,200.0,,,,
294,Black Only,200.0,,,,
295,Black Only,40.0,,,,
296,Black Only,100.0,,,,
297,Black Only,100.0,,,,
298,Black Only,100.0,,,,
299,Black Only,70.0,,,,
300,Black Only,70.0,,,,
301,White Only,50.0,,,,
302,Black Only,30.0,,,,
303,Black Only,30.0,,,,
304,Asian Only,0.0,,,,
0,Black Only,,190.0,,,
1,Black Only,,190.0,,,
2,Black Only,,190.0,,,
3,White Only,,50.0,,,
4,Black Only,,10.0,,,
5,Black Only,,40.0,,,
6,White Only,,110.0,,,
7,White Only,,110.0,,,
8,Black Only,,180.0,,,
9,Black Only,,180.0,,,
10,White Only,,250.0,,,
11,White Only,,250.0,,,
12,White Only,,250.0,,,
13,Black Only,,280.0,,,
14,Black Only,,280.0,,,
15,Black Only,,280.0,,,
16,Black Only,,620.0,,,
17,Black Only,,620.0,,,
18,Black Only,,620.0,,,
19,Black Only,,620.0,,,
20,Black Only,,620.0,,,
21,White Only,,60.0,,,
22,Black Only,,20.0,,,
23,White Only,,140.0,,,
24,White Only,,140.0,,,
25,White Only,,140.0,,,
26,White Only,,140.0,,,
27,Black Only,,640.0,,,
28,Black Only,,640.0,,,
29,Black Only,,640.0,,,
30,Black Only,,640.0,,,
31,Black Only,,400.0,,,
32,Black Only,,400.0,,,
33,Black Only,,400.0,,,
34,Black Only,,400.0,,,
35,Black Only,,400.0,,,
36,Black Only,,400.0,,,
37,White Only,,300.0,,,
38,White Only,,300.0,,,
39,White Only,,300.0,,,
40,White Only,,300.0,,,
41,White Only,,300.0,,,
42,Black Only,,20.0,,,
43,Black Only,,20.0,,,
44,Black Only,,20.0,,,
45,Black Only,,210.0,,,
46,Black Only,,210.0,,,
47,White Only,,20.0,,,
48,White Only,,330.0,,,
49,White Only,,330.0,,,
50,White Only,,330.0,,,
51,Black Only,,20.0,,,
52,Black Only,,400.0,,,
53,Black Only,,400.0,,,
54,Black Only,,400.0,,,
55,Black Only,,400.0,,,
56,Black Only,,20.0,,,
57,Black Only,,90.0,,,
