,RACE,AMOUNT_NEEDED_TO_MEET_HOUSEHOLD_FOOD_NEED,FOODSTAMPS_AMT_PERMONTH,HOUSEHOLD_PURCHASES_RESTAURANTS,HOUSEHOLD_PURCHASES_GROCERIES,FAMILY_INCOME,NUMBER_OWN_CHILDREN,YEAR
0,White Only,20.0,,,,,,2019
1,White Only,50.0,,,,,,2019
2,White Only,50.0,,,,,,2019
3,White Only,50.0,,,,,,2019
4,Black Only,60.0,,,,,,2019
5,Black Only,60.0,,,,,,2019
6,Black Only,60.0,,,,,,2019
7,Black Only,80.0,,,,,,2019
8,Black Only,30.0,,,,,,2019
9,White Only,50.0,,,,,,2019
10,White Only,50.0,,,,,,2019
11,White Only,50.0,,,,,,2019
12,White Only,50.0,,,,,,2019
13,Black Only,30.0,,,,,,2019
14,White Only,100.0,,,,,,2019
15,White Only,100.0,,,,,,2019
16,Black Only,50.0,,,,,,2019
17,Black Only,50.0,,,,,,2019
18,Black Only,200.0,,,,,,2019
19,Black Only,200.0,,,,,,2019
20,White Only,10.0,,,,,,2019
21,Black Only,30.0,,,,,,2019
22,Black Only,50.0,,,,,,2019
23,Black Only,100.0,,,,,,2019
24,Black Only,100.0,,,,,,2019
25,Black Only,100.0,,,,,,2019
26,Black Only,100.0,,,,,,2019
27,Black Only,150.0,,,,,,2019
28,Black Only,150.0,,,,,,2019
29,Black Only,40.0,,,,,,2019
30,Black Only,50.0,,,,,,2019
31,Black Only,50.0,,,,,,2019
32,White Only,20.0,,,,,,2019
33,White Only,20.0,,,,,,2019
34,White Only,200.0,,,,,,2019
35,White Only,200.0,,,,,,2019
36,White Only,200.0,,,,,,2019
37,Black Only,80.0,,,,,,2019
38,Black Only,80.0,,,,,,2019
39,Black Only,80.0,,,,,,2019
40,Black Only,80.0,,,,,,2019
41,Black Only,80.0,,,,,,2019
42,White Only,20.0,,,,,,2019
43,White Only,20.0,,,,,,2019
44,White Only,20.0,,,,,,2019
45,White Only,50.0,,,,,,2019
46,White Only,50.0,,,,,,2019
47,White Only,50.0,,,,,,2019
48,Black Only,50.0,,,,,,2019
49,Black Only,50.0,,,,,,2019
50,Black Only,50.0,,,,,,2019
51,Black Only,50.0,,,,,,2019
52,White Only,50.0,,,,,,2019
53,White Only,50.0,,,,,,2019
54,Black Only,100.0,,,,,,2019
55,Black Only,60.0,,,,,,2019
56,Black Only,60.0,,,,,,2019
57,Black Only,60.0,,,,,,2019
58,Black Only,60.0,,,,,,2019
59,Black Only,60.0,,,,,,2019
60,Black Only,60.0,,,,,,2019
61,Black Only,30.0,,,,,,2019
62,White Only,60.0,,,,,,2019
63,White Only,100.0,,,,,,2019
64,Black Only,100.0,,,,,,2019
65,Black Only,100.0,,,,,,2019
66,Black Only,100.0,,,,,,2019
67,White Only,50.0,,,,,,2019
68,Black Only,40.0,,,,,,2019
69,Black Only,40.0,,,,,,2019
70,White Only,20.0,,,,,,2019
71,White Only,100.0,,,,,,2019
72,White Only,40.0,,,,,,2019
73,White Only,40.0,,,,,,2019
74,White Only,40.0,,,,,,2019
75,Black Only,30.0,,,,,,2019
76,Black Only,30.0,,,,,,2019
77,Black Only,200.0,,,,,,2019
78,Black Only,200.0,,,,,,2019
79,Black Only,200.0,,,,,,2019
80,Black Only,200.0,,,,,,2019
81,Black Only,200.0,,,,,,2019
82,Black Only,200.0,,,,,,2019
83,Black Only,50.0,,,,,,2019
84,Black Only,50.0,,,,,,2019
85,White Only,30.0,,,,,,2019
86,Black Only,60.0,,,,,,2019
87,Black Only,60.0,,,,,,2019
88,Black Only,60.0,,,,,,2019
89,White Only,50.0,,,,,,2019
90,White Only,50.0,,,,,,2019
91,White Only,50.0,,,,,,2019
92,Black Only,80.0,,,,,,2019
93,Black Only,80.0,,,,,,2019
