Metropolitan Statistical Area,Rank,Percent,Margin of Error,Percent,Margin of Error,Percent,Margin of Error,Ratio
"Akron, OH",35,0.165527015924454,0.0340247303247452,0.190960630774498,0.0594583451747894,0.155500665307045,0.0239983797073364,1.22803735733032
"Albany-Schenectady-Troy, NY",95,0.116230852901936,0.0249384641647339,0.144788473844528,0.0534960851073265,0.103823602199554,0.0125312134623528,1.39456224441528
"Albuquerque, NM",9,0.200298592448235,0.0289193689823151,0.271880060434341,0.100500836968422,0.154669091105461,-0.0167101323604584,1.75781762599945
"Allentown-Bethlehem-Easton, PA-NJ",70,0.138929337263107,0.0270188376307487,0.189804792404175,0.0778942927718163,0.115740031003952,0.00382953137159348,1.63992345333099
"Anchorage, AK",100,0.108096323907375,0.0464428663253784,0.086429052054882,0.0247755944728851,0.120071709156036,0.0584182515740395,0.719811975955963
"Asheville, NC",22,0.177455052733421,0.057625949382782,0.124605812132359,0.00477670878171921,0.196132749319077,0.0763036459684372,0.635313630104065
"Atlanta-Sandy Springs-Roswell, GA",40,0.162311732769012,0.0121763497591019,0.178389728069305,0.0282543450593948,0.151686832308769,0.00155144929885864,1.17603969573975
"Augusta-Richmond County, GA-SC",11,0.19432270526886,0.0578084141016006,0.219847977161407,0.0833336859941483,0.178087845444679,0.04157355427742,1.23449170589447
"Austin-Round Rock, TX",83,0.129852280020714,0.0179500952363014,0.156807601451874,0.0449054166674614,0.112943522632122,0.00104133784770966,1.3883718252182
"Bakersfield, CA",1,0.231795564293861,0.0373107641935349,0.233993798494339,0.0395089983940125,0.228549584746361,0.0340647846460342,1.02382075786591
"Baltimore-Columbia-Towson, MD",80,0.13220289349556,0.0163259729743004,0.156890273094177,0.0410133525729179,0.119936384260654,0.00405946373939514,1.30811238288879
"Baton Rouge, LA",8,0.200899749994278,0.0347480177879333,0.233035489916801,0.0668837577104568,0.184917062520981,0.0187653303146362,1.2602162361145
"Birmingham-Hoover, AL",37,0.164245903491974,0.0253506302833557,0.183998122811317,0.0451028496026993,0.153551369905472,0.0146560966968536,1.19828379154205
"Boise City, ID",57,0.146410241723061,0.0303130447864532,0.167159885168076,0.0510626882314682,0.133750095963478,0.0176528990268707,1.24979269504547
"Boston-Cambridge-Newton, MA-NH",99,0.111363768577576,0.0111459493637085,0.126045733690262,0.0258279144763947,0.103248551487923,0.00303073227405548,1.22079908847809
"Bridgeport-Stamford-Norwalk, CT",85,0.128186196088791,0.0267256423830986,0.172797068953514,0.0713365152478218,0.10145927220583,-0.0000012814998626709,1.70311760902405
"Buffalo-Cheektowaga-Niagara Falls, NY",48,0.155737191438675,0.025607705116272,0.189279571175575,0.0591500848531723,0.139573022723198,0.00944353640079498,1.35613286495209
"Cape Coral-Fort Myers, FL",64,0.141672700643539,0.0320919901132584,0.243600368499756,0.134019657969475,0.104948475956917,-0.00463223457336426,2.32114243507385
"Charleston-North Charleston, SC",69,0.138971865177155,0.0307279974222183,0.16101798415184,0.052774116396904,0.126801237463951,0.0185573697090149,1.26984548568726
"Charlotte-Concord-Gastonia, NC-SC",50,0.154122650623322,0.0175904631614685,0.169880449771881,0.0333482623100281,0.14546811580658,0.00893592834472656,1.16781914234161
"Chattanooga, TN-GA",26,0.173515036702156,0.0373123735189438,0.164899244904518,0.0286965817213058,0.180029705166817,0.0438270419836044,0.915955781936646
"Chicago-Naperville-Elgin, IL-IN-WI",59,0.145218908786774,0.010766789317131,0.17423003911972,0.0397779196500778,0.128839656710625,-0.00561246275901794,1.35230135917664
"Cincinnati, OH-KY-IN",78,0.133518218994141,0.0179614946246147,0.145401760935783,0.0298450365662575,0.127932205796242,0.0123754814267159,1.13655316829681
"Cleveland-Elyria, OH",46,0.156165242195129,0.0201784521341324,0.201692014932632,0.0657052248716354,0.137057408690453,0.00107061862945557,1.47158777713776
"Colorado Springs, CO",29,0.170660972595215,0.0310620367527008,0.170776829123497,0.031177893280983,0.167166709899902,0.0275677740573883,1.02159595489502
"Columbia, SC",10,0.194782763719559,0.0362042486667633,0.190636187791824,0.0320576727390289,0.198109805583954,0.0395312905311584,0.962275385856628
"Columbus, OH",36,0.165462106466293,0.0211468040943146,0.17855903506279,0.0342437326908112,0.156487613916397,0.0121723115444183,1.1410425901413
"Dallas-Fort Worth-Arlington, TX",51,0.152382612228394,0.0109420120716095,0.172842726111412,0.031402125954628,0.139040127396584,-0.0024004727602005,1.24311399459839
"Dayton, OH",42,0.160229220986366,0.0305807441473007,0.206513270735741,0.0768647938966751,0.139466613531113,0.00981813669204712,1.48073625564575
"Deltona-Daytona Beach-Ormond Beach, FL",17,0.187847152352333,0.0372274070978165,0.235496088862419,0.0848763436079025,0.171676218509674,0.0210564732551575,1.37174558639526
"Denver-Aurora-Lakewood, CO",87,0.124226123094559,0.0145094245672226,0.146095484495163,0.0363787859678268,0.112942092120647,0.00322539359331131,1.29354333877563
